[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=4.2
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=4.3
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=4.4
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=4.5
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=4.6
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=4.7
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=4.8
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=1.6
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=1.7
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=1.8
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=1.9
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.1
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.2
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.3
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.4
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.5
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.6
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.7
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.8
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.9
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=3
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=3.1
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=3.2
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=3.3
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=3.4
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=3.5
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=3.6
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=3.7
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=3.8
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=3.9
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=4
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=4.1
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=4.2
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=4.3
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=4.4
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=4.5
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=4.6
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=4.7
[done] Exp8_ThresholdScan_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=4.8
saved exp8_results.csv rows=99
